normalized_key,level,hazard_type,area_ratio,rank_avg,rank_max,source,acquired_on
神奈川県横浜市中区弥生町5丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区扇町1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区扇町2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区扇町3丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区扇町4丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区打越,chome,landslide_special,0.0282,0.0564,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区新山下1丁目,chome,landslide_special,0.0072,0.0144,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区新山下2丁目,chome,landslide_special,0.0183,0.0366,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区新山下3丁目,chome,landslide_special,0.0098,0.0196,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区新港1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区新港2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区日ノ出町1丁目,chome,landslide_special,0.0048,0.0096,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区日ノ出町2丁目,chome,landslide_special,0.0003,0.0007,2.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区日本大通,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区曙町1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区曙町2丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区曙町3丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区曙町4丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区曙町5丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
神奈川県横浜市中区末吉町1丁目,chome,landslide_special,0.0,0.0,0.0,mlit_a33-23,2026-09-05
